Evento,Electrones_Primarios
1,718
2,375
3,428
4,687
5,494
6,635
7,436
8,641
9,587
10,476
11,527
12,512
13,373
14,604
15,616
16,676
17,459
18,336
19,358
20,541
21,484
22,389
23,479
24,824
25,378
26,522
27,521
28,581
29,550
30,621
31,405
32,911
33,441
34,697
35,448
36,458
37,500
38,581
39,345
40,626
41,676
42,465
43,566
44,243
45,452
46,516
47,434
48,424
49,419
50,349
51,779
52,789
53,358
54,424
55,480
56,440
57,405
58,718
59,589
60,343
61,351
62,416
63,561
64,366
65,1037
66,395
67,491
68,378
69,413
70,446
71,526
72,1864
73,360
74,855
75,423
76,528
77,623
78,353
79,510
80,540
81,664
82,1019
83,398
84,616
85,515
86,455
87,476
88,373
89,372
90,420
91,324
92,503
93,550
94,2708
95,479
96,694
97,598
98,1581
99,433
100,517
