Evento,Electrones_Finales_Anodo
1,36654440.69696053
2,35023432.1231404
3,22401365.124944
4,38015891.029987834
5,25146698.19064539
6,30572861.79649485
7,27737796.40404881
8,31237767.001999255
9,26226600.75453616
10,134215715.87354855
11,16048187.156893872
12,33630005.62435761
13,27124047.302411757
14,34565187.06292899
15,36351374.20882028
16,35235930.6363271
17,26027796.32211617
18,33988852.25376978
19,22235940.32951606
20,46084149.6518465
21,20011710.044333313
22,19789237.368755396
23,37802737.16122227
24,24694233.326183856
25,24822843.958356883
26,26467108.28256624
27,31494726.29009306
28,19472379.09383577
29,113301563.4358681
30,65903480.36383108
31,29307377.587945607
32,52377894.75963013
33,22436329.39147678
34,77207286.75176963
35,25532107.955499236
36,24340670.213990316
37,34578581.83483155
38,19797345.569390528
39,28592090.074981287
40,25417189.55682575
41,22873416.38094647
42,45656470.20791599
43,38528531.24163378
44,16482173.129065868
45,84635690.36909592
46,46401115.91729576
47,23303615.908779524
48,22616258.380395006
49,44065946.52199753
50,25603646.91995349
51,23374992.390478674
52,20780718.809531365
53,51442409.71796205
54,28880056.97260814
55,29466202.19106206
56,21505251.11794243
57,37962919.03472197
58,32088385.30280327
59,23290871.17979632
60,48520341.74642321
61,23466062.040024113
62,32657236.598105147
63,23320012.802149586
64,48478496.75515456
65,33880265.980951145
66,44702369.00334313
67,30817345.06730176
68,20310682.889134843
69,17785359.27843725
70,20797917.781645622
71,47621321.71561583
72,30420641.45005941
73,19583676.329531122
74,25622392.362419747
75,27511578.749104958
76,26126390.59637207
77,39227459.785373606
78,22074510.446578827
79,18366131.38601954
80,36723302.25295965
81,26858672.19114679
82,20014974.30358177
83,30033374.138150338
84,30986210.11729949
85,26253575.58037033
86,32783691.63138935
87,20217013.51717192
88,34487623.97433923
89,21788802.19656522
90,19044408.61345423
91,22181681.08631471
92,27808885.773074806
93,36574788.85913891
94,28103405.428036362
95,41935248.083915696
96,51179993.669537954
97,28699566.390421353
98,14594075.579424726
99,20212433.863667592
100,20062698.316151023
101,19684956.097150523
102,109983775.31726411
103,23640609.23758973
104,19753432.577587448
105,27977165.55536368
106,24233521.030120365
107,25256823.10709194
108,19495000.47858715
109,50339634.37975971
110,59970408.146108
111,15541957.310804626
112,63639505.01822183
113,26777145.54872426
114,39802343.772827566
115,47587768.39985204
116,40865064.20742436
117,32638892.178887617
118,25488958.5839076
119,28872684.86064702
120,26047739.544194978
121,26988164.892862108
122,27017247.038823243
123,73667319.063864
124,28132341.42658352
125,55062256.80832238
126,31605818.93394755
127,26781134.7480547
128,24336274.99499237
129,74392842.52157025
130,29566569.608027387
131,21348301.061995234
132,34863231.62330669
133,29051118.18066763
134,28259177.79190513
135,33741616.16985341
136,31137039.06668298
137,21075334.470965885
138,44033440.10692862
139,21308262.9765066
140,69583277.99290633
141,17530284.73147727
142,18324880.13283691
143,24295427.53794307
144,18480397.163255114
145,67232622.32402366
